question_id,feature_variable_code
Q201,N_REGION_ISO
Q201,Q223
Q201,Q290
Q201,Q203
Q201,Q267
Q201,Q268
Q201,Q266
Q201,Q272
Q201,Q202
Q201,Q205
Q201,Q289CS9
Q201,Q204
Q73,Q72
Q73,Q71
Q73,Q74
Q73,Q76
Q73,Q70
Q73,N_REGION_ISO
Q73,Q68
Q73,Q69
Q73,Q66
Q73,Q67
Q73,Q77
Q73,Q82
Q227,Q230
Q227,N_REGION_ISO
Q227,Q231
Q227,Q226
Q227,Q223
Q227,Q225
Q227,Q290
Q227,Q266
Q227,Q272
Q227,Q267
Q227,Q268
Q227,Q224
Q209,Q210
Q209,Q218
Q209,Q211
Q209,Q212
Q209,Q217
Q209,Q215
Q209,Q214
Q209,Q216
Q209,N_REGION_ISO
Q209,Q213
Q209,Q219
Q209,Q223
Q33,N_REGION_ISO
Q33,Q31
Q33,Q29
Q33,Q223
Q33,Q30
Q33,Q290
Q33,Q272
Q33,Q266
Q33,Q35
Q33,Q267
Q33,Q268
Q33,Q37
Q148,Q147
Q148,Q146
Q148,N_REGION_ISO
Q148,Q143
Q148,Q223
Q148,Q290
Q148,Q266
Q148,Q142
Q148,Q272
Q148,Q268
Q148,Q267
Q148,Q289CS9
Q17,N_REGION_ISO
Q17,Q8
Q17,Q290
Q17,Q223
Q17,Q272
Q17,Q266
Q17,Q267
Q17,Q268
Q17,Q45
Q17,Q289CS9
Q17,Q164
Q17,Q27
Q186,N_REGION_ISO
Q186,Q185
Q186,Q193
Q186,Q182
Q186,Q184
Q186,Q183
Q186,Q223
Q186,Q188
Q186,Q187
Q186,Q290
Q186,Q272
Q186,Q266
Q242,N_REGION_ISO
Q242,Q223
Q242,Q245
Q242,Q243
Q242,Q290
Q242,Q241
Q242,Q248
Q242,Q272
Q242,Q246
Q242,Q247
Q242,Q266
Q242,Q249
